15	10	E	-7498978.913817789	200
transitionprobs	11	9	8.640531168259973E-4
transitionprobs	11	10	0.005285141413502929
transitionprobs	11	11	0.9681227092547025
transitionprobs	11	12	0.012073863237463275
transitionprobs	11	13	0.0
transitionprobs	11	14	0.0015668547146957966
transitionprobs	11	15	4.974600581058539E-4
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0011716237181940742
transitionprobs	12	6	1.3250579819452058E-5
transitionprobs	12	7	1.3934097435387311E-5
transitionprobs	12	8	1.1108298389547108E-5
transitionprobs	12	9	0.0052336826630485
transitionprobs	12	10	0.0023347969204721582
transitionprobs	12	11	0.03275588842255527
transitionprobs	12	12	0.9581323568296511
transitionprobs	12	13	0.0
transitionprobs	12	14	2.400792999026143E-5
transitionprobs	12	15	3.0935054044425305E-4
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0
transitionprobs	13	6	0.002006532637792424
transitionprobs	13	7	2.580361140919583E-4
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	0.0
transitionprobs	13	12	0.0
transitionprobs	13	13	0.9729115603644223
transitionprobs	13	14	0.023752011842426247
transitionprobs	13	15	0.0010718590412672289
transitionprobs	14	1	2.6431184781232275E-5
transitionprobs	14	2	0.0
transitionprobs	14	3	5.563149549470564E-6
transitionprobs	14	4	0.0
transitionprobs	14	5	0.0031973683414587926
transitionprobs	14	6	0.0018282202609070449
transitionprobs	14	7	1.508852489507565E-4
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	1.765407440290129E-4
transitionprobs	14	12	2.473546951507711E-6
transitionprobs	14	13	0.002389294286701078
transitionprobs	14	14	0.9891693905357406
transitionprobs	14	15	0.003053832700930291
transitionprobs	15	1	8.41985353309857E-4
transitionprobs	15	2	2.0420472584354557E-4
transitionprobs	15	3	7.255698785066763E-5
transitionprobs	15	4	8.795604846934296E-4
transitionprobs	15	5	0.003625892325580618
transitionprobs	15	6	0.006602190853326811
transitionprobs	15	7	0.0
transitionprobs	15	8	1.0024655080932098E-5
transitionprobs	15	9	0.0
transitionprobs	15	10	6.367052927295594E-6
transitionprobs	15	11	0.0034764239757612008
transitionprobs	15	12	5.508666095879132E-4
transitionprobs	15	13	0.005564240063505505
transitionprobs	15	14	0.1536160795254894
transitionprobs	15	15	0.824549607387043
emissionprobs	1	0	H2afz	0	0.8582105687568851
emissionprobs	1	0	H2afz	1	0.14178943124311494
emissionprobs	1	1	H3k04me1	0	0.999710146504652
emissionprobs	1	1	H3k04me1	1	2.898534953480634E-4
emissionprobs	1	2	H3k09me3	0	0.9983163700182035
emissionprobs	1	2	H3k09me3	1	0.0016836299817965669
emissionprobs	1	3	H3k27ac	0	0.3479534301571922
emissionprobs	1	3	H3k27ac	1	0.6520465698428078
emissionprobs	1	4	H3k27me3	0	0.99908692848278
emissionprobs	1	4	H3k27me3	1	9.130715172200827E-4
emissionprobs	1	5	H3k36me3	0	0.9998080402988134
emissionprobs	1	5	H3k36me3	1	1.9195970118660556E-4
emissionprobs	1	6	H3k4me2	0	0.8467986474427256
emissionprobs	1	6	H3k4me2	1	0.15320135255727435
emissionprobs	1	7	H3k4me3	0	0.3589375577901213
emissionprobs	1	7	H3k4me3	1	0.6410624422098787
emissionprobs	1	8	H3k79me2	0	0.9832687312666037
emissionprobs	1	8	H3k79me2	1	0.01673126873339623
emissionprobs	1	9	H3k9ac	0	0.3690957889192103
emissionprobs	1	9	H3k9ac	1	0.6309042110807898
emissionprobs	2	0	H2afz	0	0.23421095309851872
emissionprobs	2	0	H2afz	1	0.7657890469014813
emissionprobs	2	1	H3k04me1	0	0.8668702986245633
emissionprobs	2	1	H3k04me1	1	0.13312970137543662
emissionprobs	2	2	H3k09me3	0	0.9944712913619088
emissionprobs	2	2	H3k09me3	1	0.005528708638091172
emissionprobs	2	3	H3k27ac	0	0.009862563651381499
emissionprobs	2	3	H3k27ac	1	0.9901374363486185
emissionprobs	2	4	H3k27me3	0	0.9966009535854247
emissionprobs	2	4	H3k27me3	1	0.0033990464145753295
emissionprobs	2	5	H3k36me3	0	0.999533987042023
emissionprobs	2	5	H3k36me3	1	4.6601295797703166E-4
emissionprobs	2	6	H3k4me2	0	0.0603580327057194
emissionprobs	2	6	H3k4me2	1	0.9396419672942806
emissionprobs	2	7	H3k4me3	0	1.9102777832826242E-128
emissionprobs	2	7	H3k4me3	1	1.0
emissionprobs	2	8	H3k79me2	0	0.5818091490890415
emissionprobs	2	8	H3k79me2	1	0.4181908509109584
emissionprobs	2	9	H3k9ac	0	1.2702941872537738E-5
emissionprobs	2	9	H3k9ac	1	0.9999872970581274
emissionprobs	3	0	H2afz	0	0.40218178435837965
emissionprobs	3	0	H2afz	1	0.5978182156416204
emissionprobs	3	1	H3k04me1	0	0.0642687761922476
emissionprobs	3	1	H3k04me1	1	0.9357312238077524
emissionprobs	3	2	H3k09me3	0	0.9929183514544663
emissionprobs	3	2	H3k09me3	1	0.007081648545533795
emissionprobs	3	3	H3k27ac	0	0.012236206747866966
emissionprobs	3	3	H3k27ac	1	0.987763793252133
emissionprobs	3	4	H3k27me3	0	0.9960780756904434
emissionprobs	3	4	H3k27me3	1	0.003921924309556602
emissionprobs	3	5	H3k36me3	0	0.9813839101602181
emissionprobs	3	5	H3k36me3	1	0.018616089839781982
emissionprobs	3	6	H3k4me2	0	0.002975045331676456
emissionprobs	3	6	H3k4me2	1	0.9970249546683235
emissionprobs	3	7	H3k4me3	0	0.32698646795547354
emissionprobs	3	7	H3k4me3	1	0.6730135320445265
emissionprobs	3	8	H3k79me2	0	0.9069439512981011
emissionprobs	3	8	H3k79me2	1	0.09305604870189889
emissionprobs	3	9	H3k9ac	0	0.21743720302755432
emissionprobs	3	9	H3k9ac	1	0.7825627969724457
emissionprobs	4	0	H2afz	0	0.8082507410987705
emissionprobs	4	0	H2afz	1	0.19174925890122943
emissionprobs	4	1	H3k04me1	0	0.16326436723583995
emissionprobs	4	1	H3k04me1	1	0.8367356327641601
emissionprobs	4	2	H3k09me3	0	0.9876064810137963
emissionprobs	4	2	H3k09me3	1	0.012393518986203738
emissionprobs	4	3	H3k27ac	0	0.30097160789568
emissionprobs	4	3	H3k27ac	1	0.69902839210432
emissionprobs	4	4	H3k27me3	0	0.9976033789265762
emissionprobs	4	4	H3k27me3	1	0.002396621073423774
emissionprobs	4	5	H3k36me3	0	0.9700819111908706
emissionprobs	4	5	H3k36me3	1	0.029918088809129408
emissionprobs	4	6	H3k4me2	0	0.4710796942419675
emissionprobs	4	6	H3k4me2	1	0.5289203057580325
emissionprobs	4	7	H3k4me3	0	0.9579949986834216
emissionprobs	4	7	H3k4me3	1	0.04200500131657842
